"PFAM_IDs","classified_ancestor"
"PF04223","LBCA"
"PF04224","LBCA"
"PF04226","preLBCA"
"PF04229","preLBCA"
"PF04231","LBCA"
"PF04233","LBCA"
"PF04235","LBCA"
"PF04237","LBCA"
"PF04238","LBCA"
"PF04239","LBCA"
"PF04244","LBCA"
"PF04245","LBCA"
"PF04246","LBCA"
"PF04248","LBCA"
"PF04250","LBCA"
"PF04261","LBCA"
"PF04264","LBCA"
"PF04265","LBCA"
"PF04273","LBCA"
"PF04277","preLBCA"
"PF04285","LBCA"
"PF04286","LBCA"
"PF04290","LBCA"
"PF04293","LBCA"
"PF04295","preLBCA"
"PF04296","LBCA"
"PF04299","LBCA"
"PF04304","LBCA"
"PF04324","preLBCA"
"PF04326","LBCA"
"PF04332","LBCA"
"PF04336","LBCA"
"PF04337","LBCA"
"PF04338","LBCA"
"PF04341","preLBCA"
"PF04347","LBCA"
"PF04350","preLBCA"
"PF04357","LBCA"
"PF04359","LBCA"
"PF04365","preLBCA"
"PF04366","LBCA"
"PF04367","LBCA"
"PF04384","LBCA"
"PF04392","LBCA"
"PF04397","LBCA"
"PF04404","preLBCA"
"PF04408","preLBCA"
"PF04411","LBCA"
"PF04422","preLBCA"
"PF04439","LBCA"
"PF04443","LBCA"
"PF04450","preLBCA"
"PF04452","LBCA"
"PF04454","LBCA"
"PF04464","LBCA"
"PF04465","LBCA"
"PF04466","LBCA"
"PF04474","LBCA"
"PF04480","preLBCA"
"PF04488","preLBCA"
"PF04492","LBCA"
"PF04493","LBCA"
"PF04519","preLBCA"
"PF04539","preLBCA"
"PF04542","preLBCA"
"PF04545","LBCA"
"PF04551","LBCA"
"PF04556","LBCA"
"PF04577","LBCA"
"PF04586","LBCA"
"PF04607","LBCA"
"PF04608","LBCA"
"PF04610","LBCA"
"PF04616","preLBCA"
"PF04632","LBCA"
"PF04657","preLBCA"
"PF04675","LBCA"
"PF04685","LBCA"
"PF04734","LBCA"
"PF04738","preLBCA"
"PF04754","LBCA"
"PF04760","LBCA"
"PF04765","LBCA"
"PF04773","LBCA"
"PF04775","LBCA"
"PF04784","LBCA"
"PF04794","preLBCA"
"PF04828","LBCA"
"PF04832","LBCA"
"PF04860","preLBCA"
"PF04862","LBCA"
"PF04883","LBCA"
"PF04898","LBCA"
"PF04932","preLBCA"
"PF04940","LBCA"
"PF04945","preLBCA"
"PF04952","LBCA"
"PF04954","LBCA"
"PF04956","LBCA"
"PF04960","preLBCA"
"PF04962","LBCA"
"PF04965","LBCA"
"PF04966","preLBCA"
"PF04972","preLBCA"
"PF04973","LBCA"
"PF04976","LBCA"
"PF04977","LBCA"
"PF04982","preLBCA"
"PF04986","LBCA"
"PF04989","LBCA"
"PF04991","preLBCA"
"PF04994","LBCA"
"PF05013","LBCA"
"PF05015","preLBCA"
"PF05019","LBCA"
"PF05025","LBCA"
"PF05035","LBCA"
"PF05037","LBCA"
"PF05045","LBCA"
"PF05057","LBCA"
"PF05063","LBCA"
"PF05065","LBCA"
"PF05067","LBCA"
"PF05069","LBCA"
"PF05076","preLBCA"
"PF05089","LBCA"
"PF05090","LBCA"
"PF05096","preLBCA"
"PF05099","preLBCA"
"PF05105","LBCA"
"PF05107","preLBCA"
"PF05114","LBCA"
"PF05116","LBCA"
"PF05117","LBCA"
"PF05118","LBCA"
"PF05119","LBCA"
"PF05120","LBCA"
"PF05121","LBCA"
"PF05128","LBCA"
"PF05130","LBCA"
"PF05135","LBCA"
"PF05136","LBCA"
"PF05138","LBCA"
"PF05139","LBCA"
"PF05140","LBCA"
"PF05141","LBCA"
"PF05147","preLBCA"
"PF05153","LBCA"
"PF05154","preLBCA"
"PF05157","preLBCA"
"PF05159","LBCA"
"PF05163","LBCA"
"PF05170","LBCA"
"PF05171","LBCA"
"PF05173","LBCA"
"PF05175","preLBCA"
"PF05187","LBCA"
"PF05188","LBCA"
"PF05190","preLBCA"
"PF05192","LBCA"
"PF05193","LBCA"
"PF05194","LBCA"
"PF05195","LBCA"
"PF05198","preLBCA"
"PF05199","preLBCA"
"PF05222","LBCA"
"PF05226","LBCA"
"PF05228","LBCA"
"PF05231","preLBCA"
"PF05235","preLBCA"
"PF05257","LBCA"
"PF05258","LBCA"
"PF05270","LBCA"
"PF05272","LBCA"
"PF05299","LBCA"
"PF05336","LBCA"
"PF05345","preLBCA"
"PF05359","LBCA"
"PF05360","LBCA"
"PF05401","LBCA"
"PF05426","preLBCA"
"PF05430","preLBCA"
"PF05448","preLBCA"
"PF05488","LBCA"
"PF05496","LBCA"
"PF05509","LBCA"
"PF05521","preLBCA"
"PF05523","LBCA"
"PF05524","LBCA"
"PF05525","LBCA"
"PF05532","LBCA"
"PF05534","LBCA"
"PF05544","LBCA"
"PF05547","LBCA"
"PF05552","preLBCA"
"PF05569","LBCA"
"PF05572","LBCA"
"PF05573","preLBCA"
"PF05591","LBCA"
"PF05592","LBCA"
"PF05610","LBCA"
"PF05635","preLBCA"
"PF05649","LBCA"
"PF05656","LBCA"
"PF05661","LBCA"
"PF05681","LBCA"
"PF05683","preLBCA"
"PF05684","LBCA"
"PF05685","preLBCA"
"PF05690","LBCA"
"PF05691","LBCA"
"PF05698","LBCA"
"PF05704","preLBCA"
"PF05708","LBCA"
"PF05713","LBCA"
"PF05717","LBCA"
"PF05721","preLBCA"
"PF05724","LBCA"
"PF05728","LBCA"
"PF05731","LBCA"
"PF05732","LBCA"
"PF05742","LBCA"
"PF05746","LBCA"
"PF05787","LBCA"
"PF05816","LBCA"
"PF05833","LBCA"
"PF05834","LBCA"
"PF05838","LBCA"
"PF05860","LBCA"
"PF05866","preLBCA"
"PF05869","LBCA"
"PF05875","preLBCA"
"PF05876","LBCA"
"PF05893","LBCA"
"PF05899","LBCA"
"PF05922","LBCA"
"PF05930","LBCA"
"PF05935","LBCA"
"PF05936","LBCA"
"PF05940","LBCA"
"PF05954","LBCA"
"PF05960","LBCA"
"PF05970","LBCA"
"PF05973","LBCA"
"PF05974","LBCA"
"PF05977","preLBCA"
"PF05982","preLBCA"
"PF05985","LBCA"
"PF05988","LBCA"
"PF05990","LBCA"
"PF06032","LBCA"
"PF06042","LBCA"
"PF06044","LBCA"
"PF06048","LBCA"
"PF06050","LBCA"
"PF06054","LBCA"
"PF06055","LBCA"
"PF06056","LBCA"
"PF06067","LBCA"
"PF06071","LBCA"
"PF06074","LBCA"
"PF06100","LBCA"
"PF06108","LBCA"
"PF06114","preLBCA"
"PF06127","LBCA"
"PF06144","LBCA"
"PF06150","LBCA"
"PF06155","LBCA"
"PF06161","LBCA"
"PF06165","preLBCA"
"PF06167","preLBCA"
"PF06170","LBCA"
"PF06172","LBCA"
"PF06175","LBCA"
"PF06181","LBCA"
"PF06182","preLBCA"
"PF06202","LBCA"
"PF06210","preLBCA"
"PF06240","LBCA"
"PF06241","LBCA"
"PF06243","LBCA"
"PF06252","LBCA"
"PF06262","LBCA"
"PF06276","LBCA"
"PF06283","preLBCA"
"PF06289","LBCA"
"PF06296","LBCA"
"PF06325","LBCA"
"PF06347","LBCA"
"PF06368","LBCA"
"PF06379","LBCA"
"PF06386","preLBCA"
"PF06414","LBCA"
"PF06415","LBCA"
"PF06426","LBCA"
"PF06429","LBCA"
"PF06434","LBCA"
"PF06439","LBCA"
"PF06441","LBCA"
"PF06445","preLBCA"
"PF06452","LBCA"
"PF06468","LBCA"
"PF06470","LBCA"
"PF06480","LBCA"
"PF06496","LBCA"
"PF06500","LBCA"
"PF06516","LBCA"
"PF06527","LBCA"
"PF06537","preLBCA"
"PF06541","LBCA"
"PF06559","LBCA"
"PF06574","LBCA"
"PF06580","LBCA"
"PF06628","LBCA"
"PF06685","LBCA"
"PF06689","LBCA"
"PF06718","LBCA"
"PF06719","LBCA"
"PF06725","LBCA"
"PF06727","LBCA"
"PF06736","LBCA"
"PF06738","LBCA"
"PF06742","LBCA"
"PF06750","LBCA"
"PF06751","LBCA"
"PF06764","LBCA"
"PF06769","LBCA"
"PF06772","LBCA"
"PF06778","LBCA"
"PF06779","LBCA"
"PF06792","LBCA"
"PF06798","LBCA"
"PF06803","preLBCA"
"PF06821","preLBCA"
"PF06826","preLBCA"
"PF06831","LBCA"
"PF06832","LBCA"
"PF06835","LBCA"
"PF06841","LBCA"
"PF06848","LBCA"
"PF06863","preLBCA"
"PF06865","LBCA"
"PF06877","LBCA"
"PF06889","LBCA"
"PF06897","LBCA"
"PF06902","LBCA"
"PF06912","LBCA"
"PF06925","LBCA"
"PF06941","preLBCA"
"PF06945","LBCA"
"PF06961","LBCA"
"PF06962","LBCA"
"PF06964","preLBCA"
"PF06965","LBCA"
"PF06966","preLBCA"
"PF06968","LBCA"
"PF06969","LBCA"
"PF06971","LBCA"
"PF06974","LBCA"
"PF06983","LBCA"
"PF06993","LBCA"
"PF07005","LBCA"
"PF07009","LBCA"
"PF07021","LBCA"
"PF07030","LBCA"
"PF07040","LBCA"
"PF07043","preLBCA"
"PF07055","LBCA"
"PF07063","LBCA"
"PF07070","LBCA"
"PF07075","LBCA"
"PF07077","LBCA"
"PF07080","LBCA"
"PF07081","LBCA"
"PF07085","LBCA"
"PF07087","LBCA"
"PF07090","LBCA"
"PF07098","LBCA"
"PF07099","LBCA"
"PF07100","LBCA"
"PF07103","LBCA"
"PF07109","LBCA"
"PF07110","LBCA"
"PF07143","LBCA"
"PF07166","LBCA"
"PF07171","LBCA"
"PF07179","preLBCA"
"PF07195","LBCA"
"PF07196","LBCA"
"PF07224","LBCA"
"PF07228","LBCA"
"PF07238","preLBCA"
"PF07244","LBCA"
"PF07274","LBCA"
"PF07275","LBCA"
"PF07285","LBCA"
"PF07287","LBCA"
"PF07290","LBCA"
"PF07291","preLBCA"
"PF07313","LBCA"
"PF07331","LBCA"
"PF07332","LBCA"
"PF07336","LBCA"
"PF07352","LBCA"
"PF07364","LBCA"
"PF07382","LBCA"
"PF07385","LBCA"
"PF07386","LBCA"
"PF07388","LBCA"
"PF07394","LBCA"
"PF07396","preLBCA"
"PF07411","LBCA"
"PF07452","preLBCA"
"PF07460","LBCA"
"PF07470","LBCA"
"PF07477","LBCA"
"PF07478","LBCA"
"PF07479","LBCA"
"PF07484","LBCA"
"PF07486","LBCA"
"PF07494","preLBCA"
"PF07495","LBCA"
"PF07497","LBCA"
"PF07498","LBCA"
"PF07503","LBCA"
"PF07504","LBCA"
"PF07505","preLBCA"
"PF07508","preLBCA"
"PF07510","preLBCA"
"PF07517","LBCA"
"PF07538","LBCA"
"PF07549","LBCA"
"PF07555","LBCA"
"PF07556","LBCA"
"PF07559","LBCA"
"PF07568","LBCA"
"PF07581","preLBCA"
"PF07583","LBCA"
"PF07584","LBCA"
"PF07587","LBCA"
"PF07589","LBCA"
"PF07591","LBCA"
"PF07592","preLBCA"
"PF07593","preLBCA"
"PF07602","LBCA"
"PF07607","LBCA"
"PF07609","LBCA"
"PF07610","LBCA"
"PF07617","preLBCA"
"PF07626","LBCA"
"PF07632","LBCA"
"PF07635","preLBCA"
"PF07638","preLBCA"
"PF07642","LBCA"
"PF07661","LBCA"
"PF07662","LBCA"
"PF07678","LBCA"
"PF07679","LBCA"
"PF07681","LBCA"
"PF07683","LBCA"
"PF07685","LBCA"
"PF07691","preLBCA"
"PF07695","preLBCA"
"PF07697","LBCA"
"PF07698","LBCA"
"PF07700","LBCA"
"PF07701","LBCA"
"PF07703","LBCA"
"PF07714","preLBCA"
"PF07717","LBCA"
"PF07720","LBCA"
"PF07721","LBCA"
"PF07722","LBCA"
"PF07724","LBCA"
"PF07729","preLBCA"
"PF07733","LBCA"
"PF07739","LBCA"
"PF07745","LBCA"
"PF07751","LBCA"
"PF07784","preLBCA"
"PF07799","LBCA"
"PF07804","LBCA"
"PF07811","preLBCA"
"PF07813","preLBCA"
"PF07819","preLBCA"
"PF07831","LBCA"
"PF07843","LBCA"
"PF07862","LBCA"
"PF07866","LBCA"
"PF07876","LBCA"
"PF07878","LBCA"
"PF07927","LBCA"
"PF07929","preLBCA"
"PF07934","LBCA"
"PF07944","LBCA"
"PF07947","LBCA"
"PF07949","LBCA"
"PF07963","preLBCA"
"PF07971","LBCA"
"PF07977","LBCA"
"PF07978","LBCA"
"PF07993","LBCA"
"PF07994","LBCA"
"PF08000","preLBCA"
"PF08002","preLBCA"
"PF08003","LBCA"
"PF08007","LBCA"
"PF08011","LBCA"
"PF08013","LBCA"
"PF08014","LBCA"
"PF08019","LBCA"
"PF08020","LBCA"
"PF08021","LBCA"
"PF08022","LBCA"
"PF08028","LBCA"
"PF08031","LBCA"
"PF08032","LBCA"
"PF08123","LBCA"
"PF08124","LBCA"
"PF08125","LBCA"
"PF08139","LBCA"
"PF08206","LBCA"
"PF08207","LBCA"
"PF08211","LBCA"
"PF08212","preLBCA"
"PF08218","LBCA"
"PF08238","LBCA"
"PF08239","preLBCA"
"PF08245","LBCA"
"PF08267","LBCA"
"PF08269","LBCA"
"PF08275","preLBCA"
"PF08279","preLBCA"
"PF08281","preLBCA"
"PF08291","preLBCA"
"PF08298","LBCA"
"PF08299","LBCA"
"PF08305","preLBCA"
"PF08328","LBCA"
"PF08331","preLBCA"
"PF08332","preLBCA"
"PF08334","LBCA"
"PF08335","LBCA"
"PF08338","LBCA"
"PF08340","LBCA"
"PF08345","LBCA"
"PF08346","preLBCA"
"PF08348","LBCA"
"PF08359","LBCA"
"PF08369","LBCA"
"PF08376","preLBCA"
"PF08378","LBCA"
"PF08379","LBCA"
"PF08388","LBCA"
"PF08401","LBCA"
"PF08406","LBCA"
"PF08421","preLBCA"
"PF08436","preLBCA"
"PF08439","LBCA"
"PF08445","LBCA"
"PF08446","preLBCA"
"PF08455","LBCA"
"PF08471","LBCA"
"PF08477","LBCA"
"PF08478","LBCA"
"PF08479","LBCA"
"PF08482","LBCA"
"PF08484","preLBCA"
"PF08485","LBCA"
"PF08486","LBCA"
"PF08495","LBCA"
"PF08497","LBCA"
"PF08530","preLBCA"
"PF08531","preLBCA"
"PF08532","preLBCA"
"PF08533","LBCA"
"PF08534","preLBCA"
"PF08540","LBCA"
"PF08545","preLBCA"
"PF08547","LBCA"
"PF08570","LBCA"
"PF08592","LBCA"
"PF08645","preLBCA"
"PF08659","LBCA"
"PF08660","preLBCA"
"PF08662","preLBCA"
"PF08665","LBCA"
"PF08668","LBCA"
"PF08669","LBCA"
"PF08670","LBCA"
"PF08676","LBCA"
"PF08681","LBCA"
"PF08695","LBCA"
"PF08706","LBCA"
"PF08712","LBCA"
"PF08719","preLBCA"
"PF08722","LBCA"
"PF08747","LBCA"
"PF08757","preLBCA"
"PF08765","LBCA"
"PF08774","LBCA"
"PF08780","LBCA"
"PF08787","LBCA"
"PF08795","LBCA"
"PF08797","preLBCA"
"PF08798","LBCA"
"PF08803","LBCA"
"PF08808","LBCA"
"PF08811","preLBCA"
"PF08818","LBCA"
"PF08821","LBCA"
"PF08837","LBCA"
"PF08840","preLBCA"
"PF08845","LBCA"
"PF08849","preLBCA"
"PF08867","preLBCA"
"PF08869","LBCA"
"PF08870","LBCA"
"PF08874","LBCA"
"PF08878","LBCA"
"PF08889","LBCA"
"PF08892","LBCA"
"PF08899","LBCA"
"PF08901","LBCA"
"PF08902","LBCA"
"PF08906","preLBCA"
"PF08922","preLBCA"
"PF08928","LBCA"
"PF08929","LBCA"
"PF08937","LBCA"
"PF08972","LBCA"
"PF08974","LBCA"
"PF08984","LBCA"
"PF09002","LBCA"
"PF09055","LBCA"
"PF09087","LBCA"
"PF09092","LBCA"
"PF09093","LBCA"
"PF09106","LBCA"
"PF09107","LBCA"
"PF09115","LBCA"
"PF09118","LBCA"
"PF09140","LBCA"
"PF09195","LBCA"
"PF09204","LBCA"
"PF09209","LBCA"
"PF09224","LBCA"
"PF09234","LBCA"
"PF09278","LBCA"
"PF09285","LBCA"
"PF09286","LBCA"
"PF09290","LBCA"
"PF09295","LBCA"
"PF09296","LBCA"
"PF09297","LBCA"
"PF09298","LBCA"
"PF09299","LBCA"
"PF09314","LBCA"
"PF09323","LBCA"
"PF09344","LBCA"
"PF09346","preLBCA"
"PF09347","LBCA"
"PF09348","LBCA"
"PF09349","LBCA"
"PF09350","LBCA"
"PF09359","LBCA"
"PF09363","LBCA"
"PF09364","preLBCA"
"PF09365","preLBCA"
"PF09369","LBCA"
"PF09370","LBCA"
"PF09371","LBCA"
"PF09374","LBCA"
"PF09375","LBCA"
"PF09382","LBCA"
"PF09383","LBCA"
"PF09386","LBCA"
"PF09391","LBCA"
"PF09394","LBCA"
"PF09397","LBCA"
"PF09407","LBCA"
"PF09411","LBCA"
"PF09423","preLBCA"
"PF09424","LBCA"
"PF09471","LBCA"
"PF09484","LBCA"
"PF09485","LBCA"
"PF09491","LBCA"
"PF09492","LBCA"
"PF09509","preLBCA"
"PF09511","LBCA"
"PF09527","preLBCA"
"PF09537","LBCA"
"PF09565","LBCA"
"PF09568","LBCA"
"PF09586","LBCA"
"PF09587","preLBCA"
"PF09588","LBCA"
"PF09601","LBCA"
"PF09604","LBCA"
"PF09617","LBCA"
"PF09619","preLBCA"
"PF09643","LBCA"
"PF09656","LBCA"
"PF09669","LBCA"
"PF09670","LBCA"
"PF09678","preLBCA"
"PF09684","LBCA"
"PF09694","LBCA"
"PF09699","LBCA"
"PF09700","LBCA"
"PF09701","LBCA"
"PF09707","LBCA"
"PF09709","LBCA"
"PF09720","preLBCA"
"PF09722","LBCA"
"PF09754","LBCA"
"PF09820","preLBCA"
"PF09822","LBCA"
"PF09823","preLBCA"
"PF09828","LBCA"
"PF09835","LBCA"
"PF09837","LBCA"
"PF09844","preLBCA"
"PF09848","preLBCA"
"PF09852","preLBCA"
"PF09859","preLBCA"
"PF09862","LBCA"
"PF09864","preLBCA"
"PF09865","LBCA"
"PF09899","LBCA"
"PF09903","LBCA"
"PF09905","LBCA"
"PF09907","preLBCA"
"PF09913","LBCA"
"PF09918","LBCA"
"PF09924","LBCA"
"PF09925","preLBCA"
"PF09935","LBCA"
"PF09940","LBCA"
"PF09945","LBCA"
"PF09949","LBCA"
"PF09951","preLBCA"
"PF09952","LBCA"
"PF09954","LBCA"
"PF09956","preLBCA"
"PF09957","preLBCA"
"PF09965","LBCA"
"PF09966","LBCA"
"PF09967","preLBCA"
"PF09968","LBCA"
"PF09969","LBCA"
"PF09979","LBCA"
"PF09983","preLBCA"
"PF09989","LBCA"
"PF09990","preLBCA"
"PF09991","LBCA"
"PF09992","preLBCA"
"PF09995","preLBCA"
"PF09996","LBCA"
"PF09997","LBCA"
"PF10000","LBCA"
"PF10002","LBCA"
"PF10005","LBCA"
"PF10006","LBCA"
"PF10009","LBCA"
"PF10011","LBCA"
"PF10012","LBCA"
"PF10013","preLBCA"
"PF10017","preLBCA"
"PF10020","LBCA"
"PF10021","LBCA"
"PF10022","LBCA"
"PF10023","LBCA"
"PF10025","LBCA"
"PF10026","LBCA"
"PF10029","LBCA"
"PF10035","LBCA"
"PF10042","LBCA"
"PF10047","LBCA"
"PF10050","LBCA"
"PF10056","LBCA"
"PF10060","LBCA"
"PF10067","LBCA"
"PF10070","LBCA"
"PF10071","LBCA"
"PF10077","preLBCA"
"PF10088","preLBCA"
"PF10091","preLBCA"
"PF10097","LBCA"
"PF10099","preLBCA"
"PF10105","LBCA"
"PF10108","LBCA"
"PF10110","LBCA"
"PF10111","LBCA"
"PF10114","LBCA"
"PF10117","LBCA"
"PF10124","LBCA"
"PF10127","LBCA"
"PF10134","LBCA"
"PF10135","LBCA"
"PF10137","LBCA"
"PF10142","LBCA"
"PF10145","LBCA"
"PF10262","LBCA"
"PF10263","LBCA"
"PF10282","preLBCA"
"PF10294","LBCA"
"PF10335","LBCA"
"PF10369","LBCA"
"PF10370","LBCA"
"PF10371","LBCA"
"PF10385","LBCA"
"PF10387","LBCA"
"PF10396","LBCA"
"PF10410","LBCA"
"PF10431","LBCA"
"PF10437","LBCA"
"PF10442","preLBCA"
"PF10458","preLBCA"
"PF10462","LBCA"
"PF10503","LBCA"
"PF10531","preLBCA"
"PF10544","preLBCA"
"PF10555","LBCA"
"PF10566","preLBCA"
"PF10576","LBCA"
"PF10588","preLBCA"
"PF10589","LBCA"
"PF10590","LBCA"
"PF10592","preLBCA"
"PF10593","preLBCA"
"PF10609","LBCA"
"PF10670","preLBCA"
"PF10672","preLBCA"
"PF10677","LBCA"
"PF10685","LBCA"
"PF10686","LBCA"
"PF10719","LBCA"
"PF10722","preLBCA"
"PF10728","LBCA"
"PF10741","LBCA"
"PF10754","LBCA"
"PF10861","LBCA"
"PF10881","LBCA"
"PF10923","LBCA"
"PF10987","LBCA"
"PF10988","LBCA"
"PF10990","LBCA"
"PF11026","LBCA"
"PF11028","LBCA"
"PF11042","preLBCA"
"PF11066","LBCA"
"PF11074","LBCA"
"PF11075","LBCA"
"PF11127","preLBCA"
"PF11139","LBCA"
"PF11146","LBCA"
"PF11154","LBCA"
"PF11159","LBCA"
"PF11160","LBCA"
"PF11162","LBCA"
"PF11171","LBCA"
"PF11175","preLBCA"
"PF11185","preLBCA"
"PF11188","preLBCA"
"PF11196","LBCA"
"PF11199","preLBCA"
"PF11230","LBCA"
"PF11236","LBCA"
"PF11259","LBCA"
"PF11288","LBCA"
"PF11306","LBCA"
"PF11308","LBCA"
"PF11329","LBCA"
"PF11367","LBCA"
"PF11369","LBCA"
"PF11376","LBCA"
"PF11380","LBCA"
"PF11381","LBCA"
"PF11396","LBCA"
"PF11412","LBCA"
"PF11528","LBCA"
"PF11534","LBCA"
"PF11535","LBCA"
"PF11536","preLBCA"
"PF11563","preLBCA"
"PF11578","LBCA"
"PF11583","LBCA"
"PF11611","LBCA"
"PF11614","LBCA"
"PF11617","preLBCA"
"PF11645","LBCA"
"PF11655","LBCA"
"PF11695","LBCA"
"PF11697","LBCA"
"PF11700","LBCA"
"PF11721","preLBCA"
"PF11731","preLBCA"
"PF11736","LBCA"
"PF11738","LBCA"
"PF11750","preLBCA"
"PF11753","LBCA"
"PF11756","LBCA"
"PF11761","LBCA"
"PF11784","LBCA"
"PF11790","LBCA"
"PF11791","LBCA"
"PF11795","LBCA"
"PF11818","LBCA"
"PF11821","LBCA"
"PF11832","LBCA"
"PF11845","preLBCA"
"PF11852","LBCA"
"PF11855","LBCA"
"PF11860","LBCA"
"PF11863","preLBCA"
"PF11890","LBCA"
"PF11897","LBCA"
"PF11899","preLBCA"
"PF11903","LBCA"
"PF11907","LBCA"
"PF11918","LBCA"
"PF11922","LBCA"
"PF11924","LBCA"
"PF11927","LBCA"
"PF11941","LBCA"
"PF11950","LBCA"
"PF11954","preLBCA"
"PF11958","LBCA"
"PF11959","LBCA"
"PF11964","LBCA"
"PF11965","LBCA"
"PF11967","LBCA"
"PF11974","LBCA"
"PF11975","LBCA"
"PF11999","LBCA"
"PF12002","LBCA"
"PF12006","LBCA"
"PF12008","LBCA"
"PF12019","preLBCA"
"PF12034","LBCA"
"PF12040","LBCA"
"PF12055","LBCA"
"PF12072","LBCA"
"PF12098","LBCA"
"PF12102","LBCA"
"PF12120","LBCA"
"PF12147","LBCA"
"PF12158","preLBCA"
"PF12215","preLBCA"
"PF12224","LBCA"
"PF12242","LBCA"
"PF12244","LBCA"
"PF12255","LBCA"
"PF12256","LBCA"
"PF12275","LBCA"
"PF12277","LBCA"
"PF12294","LBCA"
"PF12323","LBCA"
"PF12345","LBCA"
"PF12358","LBCA"
"PF12385","LBCA"
"PF12390","LBCA"
"PF12391","LBCA"
"PF12392","LBCA"
"PF12412","LBCA"
"PF12418","LBCA"
"PF12437","LBCA"
"PF12439","preLBCA"
"PF12441","preLBCA"
"PF12450","LBCA"
"PF12464","LBCA"
"PF12476","preLBCA"
"PF12483","LBCA"
"PF12532","LBCA"
"PF12535","preLBCA"
"PF12544","LBCA"
"PF12564","LBCA"
"PF12625","LBCA"
"PF12627","LBCA"
"PF12631","LBCA"
"PF12637","LBCA"
"PF12639","LBCA"
"PF12640","preLBCA"
"PF12647","LBCA"
"PF12651","LBCA"
"PF12654","LBCA"
"PF12663","LBCA"
"PF12669","LBCA"
"PF12674","LBCA"
"PF12682","preLBCA"
"PF12688","LBCA"
"PF12690","LBCA"
"PF12691","preLBCA"
"PF12694","LBCA"
"PF12696","LBCA"
"PF12708","preLBCA"
"PF12715","LBCA"
"PF12724","LBCA"
"PF12730","preLBCA"
"PF12732","LBCA"
"PF12733","LBCA"
"PF12740","preLBCA"
"PF12746","LBCA"
"PF12760","LBCA"
"PF12762","LBCA"
"PF12766","LBCA"
"PF12769","LBCA"
"PF12779","LBCA"
"PF12787","LBCA"
"PF12796","preLBCA"
"PF12805","LBCA"
"PF12806","LBCA"
"PF12810","LBCA"
"PF12821","LBCA"
"PF12826","LBCA"
"PF12832","LBCA"
"PF12836","LBCA"
"PF12843","LBCA"
"PF12844","preLBCA"
"PF12848","LBCA"
"PF12852","LBCA"
"PF12860","LBCA"
"PF12862","preLBCA"
"PF12869","LBCA"
"PF12870","preLBCA"
"PF12872","LBCA"
"PF12883","LBCA"
"PF12891","preLBCA"
"PF12893","LBCA"
"PF12899","LBCA"
"PF12902","LBCA"
"PF12904","preLBCA"
"PF12951","LBCA"
"PF12961","LBCA"
"PF12969","preLBCA"
"PF12971","LBCA"
"PF12972","LBCA"
"PF12973","preLBCA"
"PF12974","preLBCA"
"PF12975","LBCA"
"PF12996","preLBCA"
"PF13007","preLBCA"
"PF13011","LBCA"
"PF13021","LBCA"
"PF13030","LBCA"
"PF13031","preLBCA"
"PF13083","LBCA"
"PF13088","preLBCA"
"PF13090","LBCA"
"PF13098","LBCA"
"PF13102","LBCA"
"PF13116","LBCA"
"PF13144","LBCA"
"PF13145","LBCA"
"PF13148","LBCA"
"PF13155","LBCA"
"PF13156","LBCA"
"PF13166","preLBCA"
"PF13176","preLBCA"
"PF13177","LBCA"
"PF13189","LBCA"
"PF13190","LBCA"
"PF13197","LBCA"
"PF13202","preLBCA"
"PF13203","LBCA"
"PF13204","LBCA"
"PF13205","preLBCA"
"PF13208","LBCA"
"PF13211","LBCA"
"PF13226","LBCA"
"PF13228","LBCA"
"PF13239","LBCA"
"PF13244","LBCA"
"PF13245","LBCA"
"PF13249","LBCA"
"PF13274","LBCA"
"PF13276","LBCA"
"PF13277","LBCA"
"PF13280","LBCA"
"PF13282","preLBCA"
"PF13286","LBCA"
"PF13287","preLBCA"
"PF13288","LBCA"
"PF13290","preLBCA"
"PF13291","LBCA"
"PF13305","LBCA"
"PF13306","LBCA"
"PF13308","LBCA"
"PF13311","LBCA"
"PF13320","LBCA"
"PF13328","LBCA"
"PF13335","LBCA"
"PF13337","LBCA"
"PF13340","LBCA"
"PF13342","LBCA"
"PF13346","LBCA"
"PF13350","LBCA"
"PF13354","preLBCA"
"PF13362","LBCA"
"PF13364","LBCA"
"PF13366","LBCA"
"PF13368","LBCA"
"PF13369","preLBCA"
"PF13371","LBCA"
"PF13372","LBCA"
"PF13375","LBCA"
"PF13376","preLBCA"
"PF13377","preLBCA"
"PF13379","LBCA"
"PF13386","preLBCA"
"PF13387","LBCA"
"PF13391","preLBCA"
"PF13392","preLBCA"
"PF13395","preLBCA"
"PF13396","preLBCA"
"PF13399","LBCA"
"PF13400","LBCA"
"PF13402","LBCA"
"PF13408","LBCA"
"PF13410","LBCA"
"PF13411","LBCA"
"PF13413","LBCA"
"PF13415","LBCA"
"PF13417","LBCA"
"PF13418","LBCA"
"PF13420","LBCA"
"PF13421","LBCA"
"PF13425","LBCA"
"PF13428","LBCA"
"PF13429","LBCA"
"PF13430","LBCA"
"PF13432","LBCA"
"PF13437","preLBCA"
"PF13438","preLBCA"
"PF13443","preLBCA"
"PF13444","LBCA"
"PF13448","LBCA"
"PF13451","LBCA"
"PF13454","LBCA"
"PF13455","LBCA"
"PF13464","LBCA"
"PF13466","LBCA"
"PF13469","LBCA"
